Datetime,Opening Price,Highest Price,Lowest Price,Closing Price,Trading Volume
2023-11-28 15:30:00,189.19,189.28,189.16,189.24,1771961
2023-11-29 09:30:00,189.16,189.62,189.14,189.49,2013283
2023-11-29 10:00:00,189.5,189.75,189.1,189.27,1186000
2023-11-29 10:30:00,189.25,189.45,189.02,189.39,757256
2023-11-29 11:00:00,189.38,189.42,189.05,189.17,360441
2023-11-29 11:30:00,189.17,189.34,189.12,189.3,468172
2023-11-29 12:00:00,189.31,189.56,189.26,189.53,287968
2023-11-29 12:30:00,189.52,189.63,189.5,189.58,262873
2023-11-29 13:00:00,189.57,189.69,189.52,189.65,343376
2023-11-29 13:30:00,189.64,189.88,189.64,189.84,302815
2023-11-29 14:00:00,189.84,189.99,189.76,189.78,264967
2023-11-29 14:30:00,189.78,189.79,189.62,189.69,397209
2023-11-29 15:00:00,189.7,189.71,189.37,189.43,666079
2023-11-29 15:30:00,189.43,189.57,189.41,189.53,560722
2023-11-30 09:30:00,188.89,188.91,188.28,188.8,1176954
2023-11-30 10:00:00,188.79,188.92,188.41,188.61,583833
2023-11-30 10:30:00,188.62,188.95,188.62,188.91,886398
2023-11-30 11:00:00,188.92,189.04,188.79,189.04,805181
2023-11-30 11:30:00,189.06,189.15,188.82,189.08,370123
2023-11-30 12:00:00,189.09,189.24,189.05,189.19,305865
2023-11-30 12:30:00,189.19,189.23,188.81,188.83,151049
2023-11-30 13:00:00,188.83,188.98,188.81,188.87,163030
2023-11-30 13:30:00,188.86,188.89,188.52,188.64,175450
2023-11-30 14:00:00,188.63,188.74,188.61,188.68,143289
2023-11-30 14:30:00,188.67,188.85,188.67,188.74,625588
2023-11-30 15:00:00,188.75,188.77,188.62,188.68,760609
2023-11-30 15:30:00,188.68,188.77,188.63,188.76,799891
2023-12-01 09:30:00,188.8,189.41,188.68,189.33,775586
2023-12-01 10:00:00,189.41,190.34,189.31,189.9,1354991
2023-12-01 10:30:00,189.89,190.17,189.68,189.96,468830
2023-12-01 11:00:00,189.97,190.84,189.51,190.7,1101441
2023-12-01 11:30:00,190.7,191.02,190.55,190.85,576376
2023-12-01 12:00:00,190.85,191.16,190.73,191.03,1861183
2023-12-01 12:30:00,191.03,191.68,190.98,191.66,846779
2023-12-01 13:00:00,191.65,191.92,191.51,191.87,2714039
2023-12-01 13:30:00,191.87,192.4,191.84,192.07,1356048
2023-12-01 14:00:00,192.07,192.11,191.87,191.89,866845
2023-12-01 14:30:00,191.9,191.91,191.48,191.62,734065
2023-12-01 15:00:00,191.62,191.88,191.56,191.85,715418
2023-12-01 15:30:00,191.84,192.02,191.84,192.0,1897888
2023-12-05 09:30:00,187.55,187.77,186.83,186.91,1247440
2023-12-05 10:00:00,186.9,187.88,186.89,187.05,1118411
2023-12-05 10:30:00,187.07,187.21,186.3,186.91,912455
2023-12-05 11:00:00,186.91,187.19,186.66,186.84,3662011
2023-12-05 11:30:00,186.85,186.9,186.54,186.78,321692
2023-12-05 12:00:00,186.79,187.24,186.77,187.15,328931
2023-12-05 12:30:00,187.15,187.31,186.97,187.01,226556
2023-12-05 13:00:00,187.0,187.26,186.99,187.08,201617
2023-12-05 13:30:00,187.08,187.2,186.94,187.07,162380
2023-12-05 14:00:00,187.07,187.21,187.02,187.07,104298
2023-12-05 14:30:00,187.07,187.29,187.05,187.25,154889
2023-12-05 15:00:00,187.22,187.35,187.12,187.12,431689
2023-12-05 15:30:00,187.12,187.19,187.1,187.17,818276
2023-12-06 09:30:00,188.32,188.46,187.68,187.73,1320208
2023-12-06 10:00:00,187.73,188.11,187.5,187.86,604709
2023-12-06 10:30:00,187.88,188.35,187.88,188.19,298453
2023-12-06 11:00:00,188.19,188.29,187.69,187.74,573901
2023-12-06 11:30:00,187.74,188.26,187.61,188.17,545074
2023-12-06 12:00:00,188.18,188.18,187.86,187.86,281222
2023-12-06 12:30:00,187.87,188.15,187.87,188.13,219972
2023-12-06 13:00:00,188.14,188.27,187.99,188.17,213165
2023-12-06 13:30:00,188.18,188.3,188.12,188.23,189854
2023-12-06 14:00:00,188.23,188.25,188.06,188.09,152930
2023-12-06 14:30:00,188.08,188.2,188.05,188.16,214572
2023-12-06 15:00:00,188.18,188.18,187.9,187.96,261752
2023-12-06 15:30:00,187.93,187.96,187.73,187.87,574830
2023-12-07 09:30:00,188.45,188.59,187.73,187.84,1157250
2023-12-07 10:00:00,187.82,188.18,187.74,188.13,730917
2023-12-07 10:30:00,188.13,188.29,187.96,188.11,376638
2023-12-07 11:00:00,188.11,188.25,187.99,188.04,308518
2023-12-07 11:30:00,188.03,188.05,187.76,187.84,183289
2023-12-07 12:00:00,187.85,187.85,187.26,187.66,426794
2023-12-07 12:30:00,187.65,188.28,187.62,188.06,356720
2023-12-07 13:00:00,188.06,188.31,187.96,188.18,180883
2023-12-07 13:30:00,188.18,188.37,188.14,188.21,305028
2023-12-07 14:00:00,188.2,188.26,188.13,188.15,100789
2023-12-07 14:30:00,188.15,188.24,188.12,188.17,99540
2023-12-07 15:00:00,188.16,188.28,188.13,188.14,183717
2023-12-07 15:30:00,188.13,188.24,188.06,188.15,754530
2023-12-08 09:30:00,185.93,186.41,185.79,186.23,1543736
2023-12-08 10:00:00,186.25,186.78,185.97,186.66,933771
2023-12-08 10:30:00,186.67,186.72,186.11,186.24,402429
2023-12-08 11:00:00,186.25,186.29,185.71,185.87,531997
2023-12-08 11:30:00,185.88,185.96,185.48,185.6,502598
2023-12-08 12:00:00,185.61,185.62,184.9,185.13,905827
2023-12-08 12:30:00,185.12,185.24,185.03,185.14,364016
2023-12-08 13:00:00,185.12,185.33,185.04,185.28,327720
2023-12-08 13:30:00,185.3,185.47,185.29,185.35,188347
2023-12-08 14:00:00,185.35,185.51,185.32,185.51,157752
2023-12-08 14:30:00,185.5,185.52,185.4,185.46,163274
2023-12-08 15:00:00,185.46,185.76,185.4,185.7,402945
2023-12-08 15:30:00,185.69,185.72,185.6,185.63,1021702
2023-12-11 09:30:00,184.5,184.53,184.15,184.16,1164782
2023-12-11 10:00:00,184.17,184.29,183.73,183.78,896258
2023-12-11 10:30:00,183.79,183.92,183.59,183.76,702910
2023-12-11 11:00:00,183.76,183.93,183.54,183.63,433401
2023-12-11 11:30:00,183.65,183.79,183.56,183.68,430247
2023-12-11 12:00:00,183.69,183.8,183.37,183.43,306189
2023-12-11 12:30:00,183.43,183.56,183.18,183.23,290647
2023-12-11 13:00:00,183.24,183.41,183.15,183.39,2292546
2023-12-11 13:30:00,183.4,183.76,183.4,183.68,475418
2023-12-11 14:00:00,183.69,183.81,183.6,183.68,441842
2023-12-11 14:30:00,183.66,183.7,183.56,183.68,237635
2023-12-11 15:00:00,183.69,183.74,183.59,183.65,197783
2023-12-11 15:30:00,183.65,183.67,183.55,183.6,852604
2023-12-13 09:30:00,183.82,183.93,183.65,183.71,443504
2023-12-13 10:00:00,183.69,183.8,183.4,183.47,376077
2023-12-13 10:30:00,183.5,183.71,183.38,183.7,291134
2023-12-13 11:00:00,183.71,183.88,183.57,183.72,220206
2023-12-13 11:30:00,183.71,183.77,183.61,183.65,165591
2023-12-13 12:00:00,183.66,183.86,183.64,183.71,157558
2023-12-13 12:30:00,183.71,183.82,183.71,183.74,124397
2023-12-13 13:00:00,183.73,183.81,183.63,183.74,311344
2023-12-13 13:30:00,183.74,183.75,183.51,183.74,523635
2023-12-13 14:00:00,183.75,186.13,183.74,185.94,1850780
2023-12-13 14:30:00,185.93,187.03,185.65,186.65,1910554
2023-12-13 15:00:00,186.66,187.37,186.57,186.89,1683962
2023-12-13 15:30:00,186.95,187.66,186.89,187.63,1867237
2023-12-14 09:30:00,188.86,189.82,188.85,189.37,1709392
2023-12-14 10:00:00,189.38,189.72,189.28,189.32,960439
2023-12-14 10:30:00,189.32,189.33,188.76,189.13,529011
2023-12-14 11:00:00,189.12,189.23,188.96,188.98,382651
2023-12-14 11:30:00,188.97,189.19,188.91,189.04,581450
2023-12-14 12:00:00,189.04,189.05,188.79,188.85,1335337
2023-12-14 12:30:00,188.86,188.93,188.6,188.74,435844
2023-12-14 13:00:00,188.72,188.73,188.08,188.13,727743
2023-12-14 13:30:00,188.13,188.4,188.09,188.27,271430
2023-12-14 14:00:00,188.26,188.46,188.15,188.43,316232
2023-12-14 14:30:00,188.43,188.5,188.31,188.47,263050
2023-12-14 15:00:00,188.46,188.68,188.41,188.6,273208
2023-12-14 15:30:00,188.59,188.77,188.57,188.74,863173
2023-12-15 09:30:00,188.52,188.65,188.29,188.45,926661
2023-12-15 10:00:00,188.45,188.96,188.35,188.75,660242
2023-12-15 10:30:00,188.74,188.82,188.47,188.62,292228
2023-12-15 11:00:00,188.63,188.72,188.47,188.72,221100
2023-12-15 11:30:00,188.72,188.75,188.44,188.53,378914
2023-12-15 12:00:00,188.52,188.58,188.39,188.55,277402
2023-12-15 12:30:00,188.55,188.55,188.34,188.43,318220
2023-12-15 13:00:00,188.41,188.49,187.29,187.38,1337689
2023-12-15 13:30:00,187.37,187.55,187.19,187.2,579678
2023-12-15 14:00:00,187.2,187.23,186.88,186.95,437240
2023-12-15 14:30:00,186.96,187.15,186.82,187.14,610775
2023-12-15 15:00:00,187.13,187.29,186.98,187.29,529816
2023-12-15 15:30:00,187.29,187.37,187.02,187.02,1008633
2023-12-18 09:30:00,187.5,187.64,187.31,187.62,768515
2023-12-18 10:00:00,187.63,187.71,187.24,187.39,620306
2023-12-18 10:30:00,187.4,187.57,187.37,187.43,388281
2023-12-18 11:00:00,187.4,187.56,187.35,187.55,140981
2023-12-18 11:30:00,187.54,187.65,187.43,187.43,173061
2023-12-18 12:00:00,187.44,187.51,187.33,187.48,149400
2023-12-18 12:30:00,187.48,188.49,187.43,188.49,657882
2023-12-18 13:00:00,188.49,188.49,187.77,187.84,544770
2023-12-18 13:30:00,187.84,187.94,187.69,187.83,780200
2023-12-18 14:00:00,187.83,187.96,187.76,187.9,174049
2023-12-18 14:30:00,187.9,187.93,187.77,187.8,135909
2023-12-18 15:00:00,187.81,187.85,187.75,187.84,158798
2023-12-18 15:30:00,187.83,187.88,187.78,187.84,552495
2023-12-19 09:30:00,188.23,189.27,188.13,189.21,856247
2023-12-19 10:00:00,189.2,189.55,189.14,189.37,986662
2023-12-19 10:30:00,189.38,189.48,188.98,189.26,702146
2023-12-19 11:00:00,189.25,189.63,189.18,189.62,491493
2023-12-19 11:30:00,189.62,189.72,189.46,189.46,327776
